ID,Titulo,Keyword_Principal,Tag,Nivel,Tactica,Intencion,Volumen,Prioridad_Score
1,Reparación iPhone Chapinero Bogotá | Pipod,iPhone Chapinero,REPARACIONES APPLE BOGOTÁ,LOCAL,LOCAL SEO + VENTA,Transaccional,500,44500
2,Servicio Técnico iPhone Bogotá | Pipod,servicio tecnico iphone bogota,REPARACIONES APPLE BOGOTÁ,CAZA,SKYCRAPER + VENTA,Informativa,500,148500
3,Reparación iPhone Cerca de Mí Bogotá | Pipod,reparacion iphone cerca de mi bogota,REPARACIONES APPLE BOGOTÁ,LOCAL,LOCAL SEO + VENTA,Transaccional,500,40000
4,Servicio Técnico Apple Bogotá | Pipod,servicio tecnico apple bogota,REPARACIONES APPLE BOGOTÁ,CAZA,SKYCRAPER + VENTA,Informativa,5000,145500
5,Reparación MacBook Bogotá | Pipod,reparacion macbook bogota,REPARACIONES APPLE BOGOTÁ,CORE,SKYCRAPER + VENTA,Informativa,500,41000
6,Reparación iPhone Bogotá Guía Completa | Pipod,reparacion iphone bogota,REPARACIONES APPLE BOGOTÁ,CORE,SKYCRAPER + VENTA,Informativa,500,44500
7,Pantalla MacBook Bogotá | Pipod,pantalla mac bogota,REPARACIONES APPLE BOGOTÁ,CAZA,VENTA,Transaccional,500,110000
8,Cambio Batería iPhone Bogotá | Pipod,cambiar bateria iphone bogota,REPARACIONES APPLE BOGOTÁ,CAZA,VENTA,Transaccional,500,118750
9,MacBook No Enciende Bogotá | Pipod,macbook no enciende,REPARACIONES APPLE BOGOTÁ,CAZA,VENTA,Informativa,500,45000
10,iPhone No Enciende Guía Bogotá | Pipod,soporte de iphone,ERRORES COMUNES,CAZA,SKYCRAPER + VENTA,Informativa,500,142500
11,MacBook Lento Bogotá | Pipod,soporte mac bogota,ERRORES COMUNES,CAZA,VENTA,Informativa,500,81000
12,Apple Watch No Enciende Bogotá | Pipod,apple watch no prende bogota,ERRORES COMUNES,CAZA,VENTA,Informativa,500,49000
13,iPhone Mojado Bogotá Qué Hacer | Pipod,iphone mojado bogota,REPARACIONES APPLE BOGOTÁ,CAZA,VENTA,Informativa,500,40000
14,Face ID No Funciona iPhone Bogotá | Pipod,face id iphone no funciona,ERRORES COMUNES,CAZA,VENTA,Informativa,500,38000
15,MacBook Sobrecalienta Bogotá | Pipod,macbook sobrecalienta,ERRORES COMUNES,CAZA,VENTA,Informativa,500,35000
16,iPhone No Carga Bogotá | Pipod,iphone no carga,ERRORES COMUNES,CAZA,VENTA,Informativa,500,36000
17,Bluetooth iPhone No Funciona Bogotá | Pipod,bluetooth iphone problemas,ERRORES COMUNES,LOCAL,LOCAL SEO + VENTA,Informativa,500,30000
18,WiFi iPhone No Conecta Bogotá | Pipod,wifi iphone no conecta,ERRORES COMUNES,LOCAL,LOCAL SEO + VENTA,Informativa,500,32000
19,Guía Completa Cambiar Batería iPhone Bogotá | Pipod,bateria iphone cambio bogota,GUIAS DE COMPRA,CORE,SKYCRAPER + VENTA,Informativa,500,118750
20,Guía Pantalla MacBook Bogotá | Pipod,pantalla mac bogota,GUIAS DE COMPRA,CORE,SKYCRAPER + VENTA,Transaccional,500,110000
21,iPhone Nuevo vs Usado Bogotá | Pipod,iphone nuevo vs usado bogota,GUIAS DE COMPRA,CORE,SKYCRAPER + VENTA,Informativa,500,85000
22,MacBook Air vs Pro Bogotá | Pipod,macbook air vs pro bogota,GUIAS DE COMPRA,CORE,SKYCRAPER + VENTA,Informativa,500,75000
23,iPhone 15 vs iPhone 14 Bogotá | Pipod,iphone 15 vs 14 bogota,GUIAS DE COMPRA,CAZA,VENTA,Informativa,500,70000
24,Mejor Servicio Técnico Apple Bogotá | Pipod,mejor servicio tecnico apple bogota,GUIAS DE COMPRA,CAZA,VENTA,Transaccional,500,60000
25,Cómo Elegir Técnico Apple Bogotá | Pipod,como elegir tecnico apple,GUIAS DE COMPRA,CAZA,VENTA,Informativa,500,55000
26,Qué Buscar en Servicio Técnico Apple Bogotá | Pipod,servicio tecnico apple que buscar,GUIAS DE COMPRA,CAZA,VENTA,Informativa,500,52000
27,Dónde Reparar iPhone Bogotá | Pipod,donde reparar iphone bogota,GUIAS DE COMPRA,LOCAL,LOCAL SEO + VENTA,Transaccional,500,48000
28,Dónde Reparar MacBook Bogotá | Pipod,donde reparar macbook bogota,GUIAS DE COMPRA,LOCAL,LOCAL SEO + VENTA,Transaccional,500,45000
