ID_Orden,Titulo_Sugerido,Keyword_Principal,Categoria_Contenido,Intencion_Busqueda,Volumen_Busquedas_Mensuales,Prioridad_Score,Nivel_Estrategico
1,Mac Center vs. Servicio Técnico Especializado: ¿Dónde te conviene reparar?,macbook center,Confianza / Local,Informativa,500000.0,7000000.0,1
2,Expertos en Macs: Tu Centro de Servicio Técnico de Confianza,macs center,Confianza / Local,Informativa,500000.0,7000000.0,1
3,¿Cómo solicitar Soporte Técnico de Apple en Colombia? Guía paso a paso,soporte de apple,Guía de Blog (Tráfico),Informativa,5000.0,1500000.0,1
4,Soporte Técnico Apple en Bogotá: Reparaciones Rápidas y Garantizadas,soporte técnico apple,Guía de Blog (Tráfico),Informativa,5000.0,1470000.0,1
5,Cambio de Pantalla para MacBook en Bogotá: Precios y Garantía,pantalla mac,Confianza / Local,Informativa,5000.0,1100000.0,1
6,"Garantía Apple en Colombia: Qué cubre, qué no y qué hacer si ya expiró",garantia en apple,Guía de Blog (Tráfico),Informativa,5000.0,505000.0,1
7,Cómo tramitar la garantía con Apple: Guía Completa,garantia con apple,Guía de Blog (Tráfico),Informativa,5000.0,505000.0,1
8,Servicio Técnico Apple: Referencias y Estándares de España,apple en españa,Confianza / Local,Informativa,5000.0,240000.0,1
9,Reparación Apple: Calidad Europea en Soporte Técnico,españa apple,Confianza / Local,Informativa,5000.0,240000.0,1
10,Teléfonos de Soporte Apple: Cómo contactar con expertos rápidamente,telefono apple soporte tecnico,Guía de Blog (Tráfico),Informativa,500.0,150000.0,1
11,Soporte Técnico Apple Teléfono: Atención inmediata para tus equipos,soporte técnico apple teléfono,Guía de Blog (Tráfico),Informativa,500.0,150000.0,1
12,Soporte Técnico Apple para Empresas en Colombia: Planes Corporativos,apple empresas,Confianza / Local,Informativa,500.0,150000.0,1
13,Servicio Técnico Especializado en iPhone: Reparamos todos los modelos,soporte tecnico iphone,Guía de Blog (Tráfico),Informativa,500.0,148500.0,1
14,Soporte Técnico de Apple: Expertos en hardware y software,soporte tecnico de apple,Guía de Blog (Tráfico),Informativa,500.0,145500.0,1
15,Reparar Apple: ¿Por qué elegir un servicio especializado independiente?,reparar apple,Página de Servicio (Venta),Transaccional,500.0,142500.0,1
16,¿Tu iPhone no enciende? Guía de Soporte de iPhone para emergencias,soporte de iphone,Guía de Blog (Tráfico),Informativa,500.0,142500.0,2
17,Arreglo de iPhone en el acto: Soluciones para pantallas y baterías,arreglo de iphone,Página de Servicio (Venta),Transaccional,500.0,133500.0,2
